data_source,region,sex,age,population
census,Mafeteng,male,55,6761.0
census,Mafeteng,male,60,5735.0
census,Mafeteng,male,65,4444.0
census,Mafeteng,male,70,3333.0
census,Mafeteng,male,75,2186.0
census,Mafeteng,male,80,2180.0
census,Maseru,female,0,8357.0
census,Maseru,female,5,8166.0
census,Maseru,female,10,8389.0
census,Maseru,female,15,8424.0
census,Maseru,female,20,7102.0
census,Maseru,female,25,7241.0
census,Maseru,female,30,7259.0
census,Maseru,female,35,6539.0
census,Maseru,female,40,4531.0
census,Maseru,female,45,2584.0
census,Maseru,female,50,2224.0
census,Maseru,female,55,2296.0
census,Maseru,female,60,2195.0
census,Maseru,female,65,1695.0
census,Maseru,female,70,1296.0
census,Maseru,female,75,1007.0
census,Maseru,female,80,1226.0
census,Maseru,male,0,8779.0
census,Maseru,male,5,8426.0
census,Maseru,male,10,8612.0
census,Maseru,male,15,8610.0
census,Maseru,male,20,7204.0
census,Maseru,male,25,7015.0
census,Maseru,male,30,6778.0
census,Maseru,male,35,6359.0
census,Maseru,male,40,4886.0
census,Maseru,male,45,3130.0
census,Maseru,male,50,2728.0
census,Maseru,male,55,2691.0
census,Maseru,male,60,2312.0
census,Maseru,male,65,2267.0
census,Maseru,male,70,1512.0
census,Maseru,male,75,1075.0
census,Maseru,male,80,1086.0
census,Mohale's Hoek,female,0,8124.0
census,Mohale's Hoek,female,5,8100.0
census,Mohale's Hoek,female,10,8230.0
census,Mohale's Hoek,female,15,7794.0
census,Mohale's Hoek,female,20,7017.0
census,Mohale's Hoek,female,25,6877.0
census,Mohale's Hoek,female,30,6667.0
census,Mohale's Hoek,female,35,5818.0
census,Mohale's Hoek,female,40,4089.0
census,Mohale's Hoek,female,45,2469.0
census,Mohale's Hoek,female,50,2128.0
census,Mohale's Hoek,female,55,2092.0
census,Mohale's Hoek,female,60,1881.0
census,Mohale's Hoek,female,65,1566.0
census,Mohale's Hoek,female,70,1291.0
census,Mohale's Hoek,female,75,973.0
census,Mohale's Hoek,female,80,1320.0
census,Mohale's Hoek,male,0,8265.0
census,Mohale's Hoek,male,5,8235.0
census,Mohale's Hoek,male,10,8137.0
census,Mohale's Hoek,male,15,7813.0
census,Mohale's Hoek,male,20,6638.0
census,Mohale's Hoek,male,25,6275.0
census,Mohale's Hoek,male,30,6272.0
census,Mohale's Hoek,male,35,5588.0
census,Mohale's Hoek,male,40,4366.0
census,Mohale's Hoek,male,45,2822.0
census,Mohale's Hoek,male,50,2427.0
census,Mohale's Hoek,male,55,2437.0
census,Mohale's Hoek,male,60,2250.0
census,Mohale's Hoek,male,65,1790.0
census,Mohale's Hoek,male,70,1455.0
census,Mohale's Hoek,male,75,972.0
census,Mohale's Hoek,male,80,967.0
census,Mokhotlong,female,0,5772.0
census,Mokhotlong,female,5,5683.0
census,Mokhotlong,female,10,5720.0
census,Mokhotlong,female,15,5660.0
census,Mokhotlong,female,20,5138.0
census,Mokhotlong,female,25,4910.0
census,Mokhotlong,female,30,4626.0
census,Mokhotlong,female,35,3927.0
census,Mokhotlong,female,40,2686.0
census,Mokhotlong,female,45,1581.0
census,Mokhotlong,female,50,1387.0
census,Mokhotlong,female,55,1376.0
census,Mokhotlong,female,60,1279.0
census,Mokhotlong,female,65,1008.0
census,Mokhotlong,female,70,854.0
census,Mokhotlong,female,75,683.0
census,Mokhotlong,female,80,883.0
census,Mokhotlong,male,0,5944.0
census,Mokhotlong,male,5,5795.0
census,Mokhotlong,male,10,5891.0
census,Mokhotlong,male,15,5593.0
census,Mokhotlong,male,20,4799.0
census,Mokhotlong,male,25,4495.0
census,Mokhotlong,male,30,4378.0
census,Mokhotlong,male,35,3800.0
census,Mokhotlong,male,40,2841.0
census,Mokhotlong,male,45,1888.0
census,Mokhotlong,male,50,1613.0
census,Mokhotlong,male,55,1498.0
census,Mokhotlong,male,60,1425.0
census,Mokhotlong,male,65,1188.0
census,Mokhotlong,male,70,989.0
census,Mokhotlong,male,75,685.0
census,Mokhotlong,male,80,557.0
census,Qacha's Nek,female,0,4120.0
census,Qacha's Nek,female,5,4006.0
census,Qacha's Nek,female,10,4150.0
census,Qacha's Nek,female,15,3945.0
census,Qacha's Nek,female,20,3304.0
census,Qacha's Nek,female,25,3331.0
census,Qacha's Nek,female,30,3339.0
census,Qacha's Nek,female,35,2797.0
census,Qacha's Nek,female,40,1863.0
census,Qacha's Nek,female,45,1071.0
census,Qacha's Nek,female,50,895.0
census,Qacha's Nek,female,55,891.0
census,Qacha's Nek,female,60,767.0
census,Qacha's Nek,female,65,664.0
census,Qacha's Nek,female,70,517.0
census,Qacha's Nek,female,75,408.0
census,Qacha's Nek,female,80,635.0
census,Qacha's Nek,male,0,4147.0
census,Qacha's Nek,male,5,4148.0
census,Qacha's Nek,male,10,4069.0
census,Qacha's Nek,male,15,3952.0
census,Qacha's Nek,male,20,3077.0
census,Qacha's Nek,male,25,2862.0
census,Qacha's Nek,male,30,2916.0
census,Qacha's Nek,male,35,2702.0
census,Qacha's Nek,male,40,1936.0
census,Qacha's Nek,male,45,1258.0
census,Qacha's Nek,male,50,1100.0
census,Qacha's Nek,male,55,1044.0
census,Qacha's Nek,male,60,883.0
census,Qacha's Nek,male,65,728.0
census,Qacha's Nek,male,70,629.0
census,Qacha's Nek,male,75,391.0
census,Qacha's Nek,male,80,440.0
census,Quthing,female,0,5655.0
census,Quthing,female,5,5808.0
census,Quthing,female,10,5996.0
census,Quthing,female,15,5439.0
census,Quthing,female,20,4315.0
census,Quthing,female,25,3913.0
census,Quthing,female,30,3883.0
census,Quthing,female,35,3539.0
census,Quthing,female,40,2484.0
census,Quthing,female,45,1271.0
census,Quthing,female,50,1096.0
census,Quthing,female,55,973.0
census,Quthing,female,60,972.0
census,Quthing,female,65,761.0
census,Quthing,female,70,699.0
census,Quthing,female,75,483.0
census,Quthing,female,80,708.0
census,Quthing,male,0,5868.0
census,Quthing,male,5,6068.0
census,Quthing,male,10,5929.0
census,Quthing,male,15,5138.0
census,Quthing,male,20,4001.0
census,Quthing,male,25,3715.0
census,Quthing,male,30,3681.0
census,Quthing,male,35,3555.0
census,Quthing,male,40,2714.0
